date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2017:18:12%20GMT	http://dellta-car.com/robots.txt		(from )
20:18:12	81446/81446	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2012:24:10%20GMT	http://dellta-car.com/	C:/Users/%d8%a3%d8%a8%d9%88%20%d8%a7%d9%84%d9%88%d9%84%d9%8a%d8%af/Desktop/2222/halid/dellta-car.com/index.html	(from )
20:18:12	81446/81446	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2012:24:10%20GMT	http://dellta-car.com/index.html	C:/Users/%d8%a3%d8%a8%d9%88%20%d8%a7%d9%84%d9%88%d9%84%d9%8a%d8%af/Desktop/2222/halid/dellta-car.com/index-2.html	(from http://dellta-car.com/)
20:18:14	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2017:18:13%20GMT	http://dellta-car.com/feed/index.html	C:/Users/%d8%a3%d8%a8%d9%88%20%d8%a7%d9%84%d9%88%d9%84%d9%8a%d8%af/Desktop/2222/halid/dellta-car.com/feed/index.html	(from http://dellta-car.com/)
20:18:14	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2017:18:15%20GMT	http://dellta-car.com/comments/feed/index.html	C:/Users/%d8%a3%d8%a8%d9%88%20%d8%a7%d9%84%d9%88%d9%84%d9%8a%d8%af/Desktop/2222/halid/dellta-car.com/comments/feed/index.html	(from http://dellta-car.com/)
20:18:15	72683/72683	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Jun%202021%2012:17:46%20GMT	http://dellta-car.com/wp-content/themes/astra/assets/css/minified/style.min-rtl3b71.css?ver=3.5.0	C:/Users/%d8%a3%d8%a8%d9%88%20%d8%a7%d9%84%d9%88%d9%84%d9%8a%d8%af/Desktop/2222/halid/dellta-car.com/wp-content/themes/astra/assets/css/minified/style.min-rtl3b713b71.css	(from http://dellta-car.com/)
20:18:17	3412/3412	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Jun%202021%2012:17:46%20GMT	http://dellta-car.com/wp-content/themes/astra/assets/css/minified/menu-animation.min3b71.css?ver=3.5.0	C:/Users/%d8%a3%d8%a8%d9%88%20%d8%a7%d9%84%d9%88%d9%84%d9%8a%d8%af/Desktop/2222/halid/dellta-car.com/wp-content/themes/astra/assets/css/minified/menu-animation.min3b713b71.css	(from http://dellta-car.com/)
20:18:17	3304/3304	---M--	200	added ('OK')	font/woff	date:Sun,%2013%20Jun%202021%2012:17:46%20GMT	http://dellta-car.com/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/%d8%a3%d8%a8%d9%88%20%d8%a7%d9%84%d9%88%d9%84%d9%8a%d8%af/Desktop/2222/halid/dellta-car.com/wp-content/themes/astra/assets/fonts/astra.woff	(from http://dellta-car.com/)
20:18:18	80412/80412	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Sep%202021%2011:40:40%20GMT	http://dellta-car.com/wp-includes/css/dist/block-library/style-rtl.min080f.css?ver=5.8.2	C:/Users/%d8%a3%d8%a8%d9%88%20%d8%a7%d9%84%d9%88%d9%84%d9%8a%d8%af/Desktop/2222/halid/dellta-car.com/wp-includes/css/dist/block-library/style-rtl.min080f080f.css	(from http://dellta-car.com/)
20:18:18	16233/16233	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Dec%202020%2018:37:14%20GMT	http://dellta-car.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e8.css?ver=5.7.0	C:/Users/%d8%a3%d8%a8%d9%88%20%d8%a7%d9%84%d9%88%d9%84%d9%8a%d8%af/Desktop/2222/halid/dellta-car.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e887e8.css	(from http://dellta-car.com/)
